smiles,gsk3_activity,cyp2c19
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,0.51,0.244401291
COc1ccc(C(=O)N2c3ccccc3Sc3c(Cl)cncc32)cc1,0.56,0.951561332
O=C1Nc2cc(CCOc3ccc(N4CCOCC4)cc3)ccc2Nc2cc(-c3cn(Cc4cc(F)c(F)c(F)c4)c4cnccc34)ccc21,0.58,0.71960783
c1cncc(-c2nc(NCCCn3cccc3)c3ccccc3n2)c1,0.58,0.961152673
O=C1N=C(Nc2ccccc2)N=C1Cc1ccc2c(c1)OCO2,0.59,0.933358014
Cc1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)c1,0.6,0.84450978
COc1cc2c(O)c3coc(O)c3c(-c3ccc4c(c3)OCO4)c2cc1OC,0.61,0.773351252
O=C(NC(NC(=S)Nc1ccc(F)c([N+](=O)[O-])c1)C(Cl)(Cl)Cl)C(c1ccccc1)c1ccccc1,0.61,0.977781653
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0.63,0.95962584
O=C(c1ccccc1)c1ccc(NCCCn2ccnc2)c([N+](=O)[O-])c1,0.64,0.976165116
COc1ccc(N=Nc2c(O)n[nH]c2-c2cccnc2)cc1,0.64,0.580750823
Cn1c(SCc2nnc(-c3ccc(F)cc3)o2)nnc1C1COc2ccccc2O1,0.64,0.961642623
C(=Cc1cncc(OCCc2c[nH]c3ccccc23)c1)c1ccncc1,0.65,0.982208908
COc1ccc(CSc2nnc(C3C=Cc4nccn4C3)o2)cc1C(F)(F)F,0.65,0.983041763
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,0.65,0.893385231
COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,0.65,0.720104098
c1ccc(-c2nc(NCCCn3ccnc3)c3ccccc3n2)cc1,0.65,0.97056818
Cc1cncc2cccc(S(=O)(=O)N3CCCNCC3C)c12,0.65,0.28088659
N#CC(C(=N)SC1C=CC=CC1)c1cccc(C(O)c2ccncc2)c1,0.66,0.970588088
CCOc1cccc(-c2c(C(=O)NN=Cc3sccc3C)nnn2-c2nonc2N)c1,0.66,0.93117398
N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1,0.67,0.957363129
Cc1cccc(C2(c3cccc(C)c3)CC2C(=O)Nc2ccncc2)c1,0.68,0.983427405
CC1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(-c4nnn[nH]4)cn1c23,0.68,0.92291224
O=C(Cc1ccc(-c2cccnc2)cc1)Nc1ccc(SC(F)F)cc1,0.68,0.914140999
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,0.68,0.975504041
N#CC(C(=N)Sc1ccccc1N)C(C#N)C(=N)Sc1ccccc1N,0.68,0.94813621
Cc1cnc(-c2cnc(NCCNc3ccc(C#N)cn3)nc2-c2ccc(Cl)cc2Cl)[nH]1,0.68,0.885113895
CC(C)(C)OC(=O)n1cc(-c2cncn2C2CCCCC2)c2ccccc21,0.69,0.950875103
CN(C)c1ccc(-c2cc(-c3ccc([N+](=O)[O-])cc3)nc(NS(=O)(=O)c3ccc(N)cc3)n2)cc1,0.69,0.682847142
CCCCN(CCC#N)C(=O)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,0.7,0.5824579
CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F,0.7,0.952555358
O=C(NCCCCCCNC(=O)NCc1cccnc1)NCc1cccnc1,0.7,0.86966151
CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,0.7,0.947761357
Cc1csc(NC(=O)c2sc3nc(-c4ccncc4)ccc3c2N)n1,0.71,0.950672805
O=C(NCc1cccc(O)c1)Nc1nc(-c2ccncc2)cs1,0.71,0.968863964
Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1,0.71,0.745111763
Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3c(c2)OCO3)n1,0.71,0.952820599
Fc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.71,0.978426337
c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,0.72,0.900203705
COC(=O)c1nnn(-c2nonc2N)c1CSc1nc2ccccc2s1,0.72,0.968655944
c1csc(C2=Nn3c(nnc3-c3ccncc3)SC2)c1,0.72,0.972003341
COCC#Cc1cccc2c1Cc1c(-c3cccs3)n[nH]c1-2,0.73,0.782299638
Nc1nonc1-n1nnc(C(=O)NN=Cc2c(F)cccc2Cl)c1-c1ccc2c(c1)OCO2,0.73,0.923761845
COC1C(N(C)C(=O)CCC(=O)NCCC(=O)NCCC(=O)NCCC(N)=O)CC2OC1(C)n1c3ccccc3c3c4c[nH]c(O)c4c4c5ccccc5n2c4c31,0.73,0.15300104
Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,0.73,0.942460835
COc1ccccc1C=NNC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1,0.73,0.815035343
Cc1nnc2[nH]cc(-c3cc(OCC(N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc1-2,0.74,0.937369466
Nc1nonc1-n1nnc(C(=O)NN=Cc2ccccc2F)c1-c1cccs1,0.74,0.545074463
COc1cccc(C(C)NC(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)c1,0.75,0.973406494
Cc1ccccc1-n1nncc1-c1ccncc1,0.75,0.965817809
O=C(Nc1cccc(Cl)c1)Nc1nc(CCNc2ncnc3ccsc23)cs1,0.75,0.976391315
C=C1C=C(N2CCOCC2)Cc2nc(-c3c(NCC(O)c4cccc(Cl)c4)ccnc3O)[nH]c21,0.76,0.93158263
COc1ccc(CNc2ncnc3nc(-c4cccc(F)c4)n(C)c23)cc1,0.76,0.939667702
Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1cccs1,0.76,0.505627334
COc1cccc(CNC(=O)c2cnc(-c3ccncc3)nc2)c1,0.76,0.929234028
CN1CCN(c2cnc(NCCNc3ccc([N+](=O)[O-])c(N)n3)nc2-c2ccc(Cl)cc2Cl)C(=O)C1,0.76,0.684015632
OCCNc1cc2cc(-c3cccnc3)ccc2cn1,0.76,0.365268111
Oc1ccc2nc3c(C4=CC5(O)CCC=CCCCCN6CCC4C4(CC7C=CCCCCN7C54)C6)[nH]ccc-3c2c1,0.78,0.686448216
NC(=O)c1ccc(NC2CCCCC2N)nc1Nc1cccc(Cl)c1,0.78,0.907612443
CNc1ncnc2c1N=C(c1ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc1)CCN2,0.78,0.946844101
Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,0.78,0.927639604
CC(C)(C)c1ccc2nc(-c3n[nH]c4ccccc34)[nH]c2c1,0.78,0.897766411
CC(C)(C)CNC(=O)CC1CNC(=O)c2cc(-c3ccncc3)cn21,0.78,0.89321804
Oc1cnc2ccc(-c3ccncc3)cc2c1,0.79,0.911633372
NC(Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(C=Cc2ccncc2)c1,0.79,0.96964103
Nc1nonc1-n1nnc(C(=O)NN=Cc2cccs2)c1-c1ccccc1,0.8,0.582629204
COc1cccc(CNC(=O)c2ccc(-c3ccncc3)cc2)c1,0.8,0.946566701
O=C(CC1CNC(=O)c2cc(-c3cn[nH]c3)cn21)NCc1cccc(F)c1,0.8,0.87362355
COc1cccc(-c2n[nH]c(O)c2N=Nc2cccnc2)c1,0.81,0.835950017
C=CCNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2OC)n1,0.81,0.56609714
O=C(NCc1ccc(Cl)c(Cl)c1)Nc1ccc2n[nH]cc2c1,0.81,0.969076335
COc1cccc2c3ccnc(C4=CC5(O)CCC=CCCCCN6CCC4C4(CC7C=CCCCCN7C54)C6)c3n(C)c12,0.81,0.711627126
c1ccc2c(-c3ccncc3)c[nH]c2c1,0.81,0.953066826
CCN(CC)c1ccc(-c2nc3[nH]ccc(C(=O)Nc4cnccc4C)c-3n2)cc1,0.81,0.929647148
O=CC(O)N1CCC(c2n[nH]c(-c3ccc(Cl)cc3F)c2-c2ccncn2)CC1,0.81,0.818134665
COc1cccc(-n2nc(C)c3c(NN=C(C)c4ccncc4)ncnc32)c1,0.81,0.93023932
Cc1ccc(S(=O)(=O)Nc2ccc(CCNC(=O)c3ccc(O)c4[nH]c(Cc5ccccc5)nc34)cc2)cc1,0.82,0.966977775
O=C1Nc2ccccc2Nc2cc(-c3ccncc3Cl)ccc21,0.82,0.942336261
COc1ccc(-c2ocnc2C(=O)NCc2ccn3ccnc3c2)cc1Cl,0.82,0.955447853
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)s2)c1,0.82,0.973331273
Brc1cnn2c(NCOc3cccnc3)cc(-c3ccccc3)nc12,0.82,0.961508453
Cn1cc(C(CN)c2cncc(C=Cc3ccncc3)c2)c2ccccc21,0.82,0.957935333
C1=CCCC2=CC(c3nccc4c3[nH]c3ccccc34)=C3CCN(CCCC1)CC31CC3C=CCCCCN3C21,0.83,0.875047028
c1ccc(Cn2sc(=NCc3cccnc3)nc2-c2ccccc2)cc1,0.83,0.981440187
CC(=O)Oc1cccc2c1[nH]c1c(C3=C4CCN5CCCCC=CCCC(=C3)C3N6CCCCC=CC6CC43C5)nccc12,0.83,0.85267365
CCCCNC(=O)N1Cc2[nH]nc(NC(=O)C(C)c3ccc4ccccc4c3)c2C1,0.83,0.960132003
N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2,0.83,0.945958495
CCCC(=O)Nc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3cc(OCCN4CCCC4)ccc3n2)c1,0.83,0.485137999
N#Cc1ccc(-c2ccncc2)cc1NCc1ccccc1,0.83,0.970841527
Cn1cncc1CNC(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,0.83,0.867947876
NS(=O)(=O)c1ccc(N=Nc2c(O)[nH]c3ccc(C(=O)NCCCn4ccnc4)cc23)cc1,0.83,0.143482476
O=[N+]([O-])c1ccc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)nc1,0.84,0.912025273
CC(=O)N1CCC(Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)C1c1ccccc1,0.84,0.79529351
NC(=O)c1ccc(-c2ccncc2)cc1NCc1cccc(F)c1,0.84,0.964763522
COc1cccc(-n2ncc3c(NN=C(C)c4ccncc4)ncnc32)c1,0.84,0.918191135
CCOc1ccncc1NC(=O)c1ccnc2nc(-c3cccnc3)[nH]c12,0.84,0.68268621
Fc1ccc(-c2nc3n(c2-c2ccncc2)CCS3)cc1,0.84,0.952692509
CC(=O)N1CCC(Nc2cncc(C(=O)c3cn(C(C)C)c4ncnc(N)c34)n2)C1c1ccc(F)cc1,0.84,0.848331094
COc1cccc2c1Nc1cc(Nc3ccncc3)ccc1C(=O)N2,0.84,0.896335423
O=c1[nH]cc(-c2cccc3cccnc23)c2sc(-c3ccncc3)cc12,0.84,0.911433399
Cc1oncc1CNC(=O)c1ccc2cc(-c3n[nH]cc3-c3ccccc3)[nH]c2c1,0.85,0.942013144
COc1cccc(CNC(=O)c2cc3c(-c4ccccc4)[nH]nc3s2)c1,0.85,0.96965313
COC(=O)c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.85,0.980514348
c1ccc2c(CSc3nnc(-c4ccncc4)o3)cccc2c1,0.85,0.984197497
OC12C=C(c3nccc4c3[nH]c3ccccc34)C3CCN(CCCCC=CCC1)CC31CC34CCC(CCCN3C21)O4,0.85,0.570810378
COc1ccc(-c2ocnc2C(=O)NCc2cccnc2)cc1,0.85,0.914850712
CC(=O)OCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,0.85,0.919515312
NS(=O)(=O)c1ccc(N=Nc2c(O)[nH]c3ccc(-c4cnco4)cc23)cc1,0.85,0.12891981
Clc1ccc(-c2n[nH]cc2-c2ccncn2)cc1Cl,0.85,0.970217049
Oc1cc(-c2ccncc2)nc(NCc2cc(F)cc(F)c2)n1,0.85,0.959361851
CCCCCc1nc(=NCc2cccnc2)sn1-c1ccccc1,0.86,0.975254714
c1ccc(-n2sc(=NCc3cccnc3)nc2-c2cccc3ccccc23)cc1,0.86,0.970885396
CN(C)S(=O)(=O)Nc1ccc(CCNC(=O)c2cc[nH]c3nc(-c4ccsc4)nc2-3)cc1,0.86,0.935348034
CS(=O)(O)=Nc1ccc(CCNC(=O)c2cc[nH]c3nc(-c4cccs4)nc2-3)cc1,0.86,0.369629622
Clc1ccc(CSc2nnc(-c3ccncc3)o2)c(Cl)c1,0.86,0.989265919
COC(=O)c1cccc(CSc2nnc(-c3ccncc3)o2)c1,0.86,0.98554039
Fc1ccc(-c2nc3cnccn3c2-c2ccnc(NCC3CC3)n2)cc1,0.86,0.847635627
Oc1cc(-c2ccncc2)nc(NC2CCCCC2)n1,0.86,0.932464957
CCOc1cccc2c3ccnc(C4=CC5(O)CCC=CCCCCN6CCC4C4(CC7C=CCCCCN7C54)C6)c3n(CC)c12,0.86,0.74688369
c1ccc(-n2sc(=NCc3cccnc3)nc2-c2cccc3ccccc23)cc1,0.86,0.970885396
CC(=O)Nc1nc(C)c(S(=O)(=O)Oc2cccc3c2[nH]c2c(C4=CC5(O)CCC=CCCCCN6CCC4C4(CC7CCC(=O)CCCN7C54)C6)nccc23)s1,0.86,0.761364758
Cc1n[nH]c2ccc(-c3cccnc3)cc12,0.87,0.769549489
OCCC(Nc1nc2ccc(-c3ccncc3)cc2s1)c1ccccc1,0.87,0.954108715
CC(=Cc1oc(O)c(C)c1O)CCC=C(C)CCCc1coc(Cc2ccoc2)c1,0.87,0.97967422
COc1ccc(-c2oc3ncnc(N)c3c2-c2cccnc2)cc1,0.87,0.878424466
N#Cc1ccc(-n2c(-c3nonc3N)nc3ccccc32)cc1,0.87,0.636702478
Cc1cccc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)C(C)C2)c1,0.87,0.844338894
COc1ccncc1-c1n[nH]c(O)c1N=Nc1cccnc1,0.87,0.450794935
